

TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100)



93.83,91.44,84.91,63.88,100.00


89.61,96.04,76.53,44.71,93.48


80.83,89.35,81.47,59.72,88.60


73.73,84.26,85.65,53.99,78.51


78.51,77.15,78.99,41.46,85.89


72.80,72.08,88.90,56.66,56.63


86.29,61.54,76.51,50.46,45.49


64.60,72.08,68.55,52.30,71.04


80.63,44.22,71.03,55.11,36.94


70.22,58.51,73.21,53.43,20.35


66.49,46.44,72.02,60.96,59.69


58.26,68.50,77.63,29.09,33.49


64.70,53.04,74.73,59.99,29.73


81.42,40.80,69.67,56.16,17.28


61.82,52.36,78.74,45.76,24.71


54.64,55.40,65.51,59.22,49.93



68.55,38.31,69.71,60.21,49.60


81.45,39.77,64.08,59.02,17.99


64.43,42.55,77.62,41.66,48.44


69.77,45.75,73.11,56.55,12.01


60.34,38.36,71.27,51.10,41.93


67.15,45.47,61.09,40.27,32.03


77.84,29.53,65.29,60.61,14.73


78.87,20.76,62.12,60.82,43.47


74.43,35.03,65.64,49.30,14.73


67.25,31.43,72.38,54.79,22.59


71.22,36.61,59.88,51.69,16.21


76.90,30.48,63.07,54.64,9.96


74.18,26.31,59.24,52.64,32.03


69.82,23.64,55.96,49.87,60.95


63.78,35.85,64.68,56.13,11.20


57.41,39.27,72.13,48.49,8.67


61.27,33.34,64.59,58.93,15.48


67.99,42.64,47.12,57.87,2.60


70.21,38.92,53.95,36.54,10.79


69.98,27.18,58.89,52.41,19.35


56.33,34.48,66.57,62.08,5.04


49.08,31.56,77.96,54.24,16.57


68.57,18.47,56.93,63.21,28.40


62.34,26.64,59.11,46.60,34.91


54.83,29.75,70.78,48.70,21.65


72.70,27.91,55.73,43.77,6.89


59.20,37.89,60.94,42.36,7.35


79.15,2.63,73.55,59.67,6.89


60.44,23.96,66.29,46.51,26.74


58.66,31.97,54.06,61.87,13.20


52.84,36.28,64.90,43.94,12.41


52.93,29.68,64.99,46.75,18.67


70.42,17.39,60.09,58.32,1.06


55.17,26.58,60.60,41.85,34.67


58.23,21.63,66.81,63.99,5.51


55.37,33.17,58.95,46.61,8.67


62.07,19.84,65.32,42.72,17.99


67.83,18.13,56.92,55.85,6.44


56.88,23.54,69.57,46.73,6.44


58.67,15.71,69.25,61.28,9.10


61.32,26.01,62.32,35.65,8.67


66.43,13.67,63.12,52.94,10.37


43.70,45.56,53.84,43.14,8.23



64.56,13.01,61.42,57.03,9.96


52.57,29.06,60.17,45.52,10.37


62.94,14.26,50.86,50.64,32.03


70.99,27.72,35.53,43.79,2.60


54.67,22.43,61.63,52.50,4.56


64.07,6.90,68.03,55.18,4.56


47.47,24.85,70.00,39.95,9.96


64.05,7.95,62.67,51.06,10.79


59.46,13.12,52.77,45.32,34.20


63.33,9.78,57.10,51.51,14.73


48.00,21.07,58.39,53.21,21.65


48.87,31.55,51.45,50.27,1.06


53.24,20.03,48.51,55.91,20.02


50.81,11.57,66.01,64.18,9.10


55.33,18.26,59.32,42.06,5.04


54.94,11.61,60.08,46.18,16.93

58.36,9.31,53.78,49.52,17.99


52.36,28.75,38.77,53.83,2.60


64.23,9.26,52.89,48.79,2.09


63.79,11.75,46.73,44.42,11.20


58.19,4.41,68.69,48.43,1.58


53.28,16.68,55.99,50.27,1.58


57.39,7.31,57.61,49.40,13.20


52.34,7.37,59.50,65.63,6.44


45.26,16.66,53.23,55.70,21.96


61.09,1.68,58.20,62.10,2.09


42.73,26.82,54.91,49.28,1.06


51.56,12.16,54.62,60.91,7.35


54.67,2.33,64.84,60.38,5.97


54.87,6.82,60.98,56.29,3.59


39.58,17.27,67.60,44.05,16.21


41.04,24.86,59.84,43.74,3.09


54.42,20.09,46.76,42.46,4.08


50.86,8.46,50.37,55.90,28.93


65.02,12.58,47.97,34.12,0.00


49.39,11.82,67.69,37.26,5.97


59.06,12.30,48.68,47.64,3.09


56.04,5.70,61.37,53.06,0.00


63.62,11.41,48.19,35.93,2.60


57.00,2.23,62.40,56.96,0.00

57.24,2.53,57.97,57.19,5.97

