TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100)


93.55,92.39,84.36,63.99,100.00


85.80,96.18,80.32,56.19,90.85
89.12,95.30,76.47,48.17,89.61


73.14,88.20,84.12,57.79,84.14


79.07,81.79,82.56,46.61,81.35


75.05,75.90,89.84,58.65,54.61


82.55,63.60,78.45,58.86,54.49
78.91,49.18,71.71,56.21,55.38


63.17,64.13,63.24,52.66,70.13



68.36,46.64,72.76,62.20,63.54


68.61,45.63,77.36,53.16,47.42

67.76,57.30,76.32,49.68,19.77

75.66,49.17,70.18,57.30,21.29


53.40,65.71,74.79,37.83,46.20

63.62,59.12,70.03,38.12,35.31


59.99,56.05,75.71,46.34,31.60


77.50,37.78,65.03,57.30,34.78


54.65,57.34,63.57,56.69,44.81


73.65,45.77,59.79,47.23,38.39


78.61,34.57,68.06,65.65,18.72


59.48,41.31,75.46,50.40,48.85


75.13,39.08,65.02,50.48,25.54


69.51,44.96,67.28,55.65,13.66


80.59,31.01,56.26,61.34,34.59


63.61,35.15,71.40,54.50,44.67

68.19,31.77,72.50,54.98,32.17


64.25,42.18,75.11,50.90,10.88


63.47,28.22,77.01,61.09,36.71


76.84,29.22,64.57,60.10,16.27


77.52,22.75,61.95,56.20,40.33


64.81,40.49,65.09,57.66,8.92

71.35,26.31,66.43,60.53,17.65


66.84,35.80,57.78,52.00,25.54

60.27,28.07,72.07,53.38,37.22


69.51,41.27,48.29,56.32,5.07


59.85,33.40,63.04,62.18,21.53


69.13,28.51,63.63,52.66,16.55


65.79,31.04,64.66,56.42,12.14


53.08,34.19,73.40,52.49,26.21


69.39,39.46,53.28,32.10,12.14


61.36,36.64,58.47,51.21,13.66


63.13,28.38,65.55,49.49,19.77


68.43,20.68,53.91,62.59,35.31


68.97,17.40,53.37,48.73,58.35

71.20,28.65,55.01,49.64,12.14


52.84,36.16,63.30,46.54,24.63


61.42,28.29,62.26,61.93,5.07


65.59,19.17,61.60,68.50,13.36


58.17,26.17,64.17,51.79,25.77


67.68,23.44,57.02,63.26,6.86


61.31,29.86,61.71,47.42,11.83


70.88,21.80,58.27,56.06,3.19

55.73,38.20,58.34,46.63,6.86


41.83,50.63,51.81,44.72,10.24

56.55,24.08,69.36,41.49,12.76


61.68,18.98,56.74,49.23,29.20


66.68,32.43,41.05,47.69,5.80

51.01,27.60,60.91,51.30,9.92

65.78,7.41,67.66,55.88,6.51


54.71,23.00,60.48,52.12,8.59


67.60,14.08,53.96,55.70,3.95


53.27,24.05,66.59,40.74,3.95


63.58,10.81,60.99,50.62,13.06

62.87,8.61,60.49,56.32,13.66


54.81,14.26,61.96,55.76,18.19


64.80,4.46,67.54,57.18,4.70


65.85,18.20,44.33,58.13,4.33

63.46,9.75,50.95,46.48,32.94


62.00,8.01,58.99,53.02,15.71


58.62,20.58,49.02,52.46,7.22


59.95,8.90,60.96,49.40,16.27


55.46,18.11,49.40,55.47,18.72


