a,b,c,d,e


82.22,92.16,82.89,52.84,100.00


74.98,44.80,100.00,75.10,67.24


70.91,44.89,85.65,58.76,53.99


69.65,52.11,73.66,65.83,44.33


53.38,52.96,90.39,48.67,71.44


71.15,42.93,81.18,54.01,58.32


59.26,48.58,91.03,61.66,47.99


75.44,42.62,75.36,66.21,43.95


67.66,45.48,85.36,56.22,44.99


71.35,38.30,88.52,73.05,31.60


50.18,55.40,85.21,60.37,53.44


56.00,48.61,77.49,52.37,65.89


67.47,46.47,75.58,52.82,37.18


82.40,30.44,69.83,48.72,33.54


62.76,40.72,72.48,60.97,41.37


48.71,54.82,67.26,58.15,49.00


70.97,40.78,55.70,57.39,38.99


51.99,48.02,75.33,46.08,44.07


63.77,25.99,86.10,56.86,39.82


72.43,25.73,71.13,63.78,30.40


69.79,28.48,73.16,61.71,23.16


65.37,33.16,68.21,55.23,38.30


73.76,19.03,86.00,51.56,21.54


67.82,22.59,72.25,76.16,31.30


63.86,35.91,65.46,57.76,34.20


50.08,42.83,71.27,54.90,42.39


62.99,19.55,92.51,54.45,31.30


76.71,16.92,67.48,60.92,36.40


55.95,25.56,86.42,55.22,39.00


69.15,30.32,71.21,46.60,21.87


56.99,38.79,65.75,55.71,31.88


77.94,26.47,61.22,44.84,24.10


70.68,18.74,66.64,69.78,30.70


64.38,11.40,80.01,75.54,38.16


56.48,34.43,67.43,58.58,34.53


63.66,22.69,68.36,51.63,44.76


50.79,37.48,66.42,62.52,30.10


61.83,21.53,76.24,48.81,37.00


60.75,30.41,65.23,64.31,19.47


62.03,30.34,63.23,49.21,34.88


65.54,24.52,64.00,55.66,33.54


65.80,24.29,64.87,66.51,19.11


70.05,14.11,63.35,72.57,31.82


68.05,13.40,83.90,55.67,14.18


57.71,28.86,66.91,54.62,32.53


75.20,9.71,63.68,63.64,33.54


59.87,17.04,81.09,55.87,22.20


60.25,18.51,79.14,49.47,25.82


65.03,15.19,75.60,53.40,23.48


58.41,27.29,75.58,40.84,19.30


44.31,30.06,77.12,53.04,35.48


64.78,16.33,72.53,45.63,31.47


63.49,28.38,50.92,46.57,40.09


66.18,17.39,69.30,53.19,21.21


52.72,12.82,85.27,75.87,20.18


68.11,16.40,62.82,60.52,21.54


66.87,12.44,64.13,62.44,31.47


45.97,28.85,73.14,58.52,28.88


59.45,18.56,66.96,66.89,21.87


63.88,26.14,56.90,42.62,29.39


73.22,7.13,60.79,59.68,30.00


50.14,27.78,67.84,51.36,29.39


61.13,12.09,65.73,58.16,39.00


69.36,21.65,50.81,40.34,25.82


48.08,20.84,77.97,53.61,23.79


56.25,28.71,56.04,52.33,15.66


66.00,10.83,67.02,49.90,20.52


65.54,13.03,57.99,57.18,24.40


47.27,13.99,87.05,52.81,20.52


68.29,9.13,52.96,64.65,28.20


53.87,13.61,68.79,56.82,31.11


56.17,17.23,60.48,63.60,20.87


57.57,13.05,71.82,50.29,18.74


68.71,6.63,52.54,67.93,22.85


61.64,2.82,61.47,72.96,31.47


50.79,15.59,71.67,51.24,25.82


70.13,3.79,60.42,49.67,25.11


57.28,16.44,62.61,67.68,2.87


44.72,31.00,52.29,54.73,30.40


60.51,20.90,60.00,49.90,2.18


55.98,14.14,65.28,53.00,19.82


58.77,3.67,64.95,64.17,30.70


50.92,20.45,59.02,50.74,28.09


61.80,8.95,63.00,49.99,22.20


43.29,16.75,72.52,60.44,24.74


70.10,8.31,45.02,66.00,18.74


57.49,16.90,50.89,62.39,21.87


65.61,7.73,50.84,68.81,18.74


39.83,19.63,82.34,46.54,19.47


68.65,3.95,56.49,60.00,18.00


55.52,15.40,61.06,50.37,21.21


50.28,18.49,66.37,46.69,19.82


53.27,11.81,63.44,56.28,26.45


56.90,14.03,58.74,46.79,27.21


52.23,19.92,64.32,52.87,4.53


42.89,11.50,77.12,44.13,39.00


55.59,8.36,61.02,59.78,26.73


70.68,5.16,48.45,56.63,18.74


49.89,9.95,68.15,48.88,33.21


57.39,8.36,60.60,58.11,20.52
