a,b,c,d,e


83.11,87.59,87.97,61.48,83.33


69.49,72.60,84.02,76.75,68.70


64.68,78.14,70.07,65.80,83.44


55.07,70.46,85.11,72.85,64.72


55.45,68.48,65.92,68.69,69.53


62.11,33.96,98.71,82.40,47.27


60.07,62.14,58.34,60.01,63.62


65.53,47.46,78.28,79.28,28.79


52.24,56.60,83.38,72.70,32.38


47.85,49.96,94.36,62.97,44.01


78.28,51.93,68.79,47.44,6.92


48.64,54.09,91.42,53.37,28.81


46.25,54.58,79.31,60.01,43.94


57.30,42.77,78.79,78.13,27.06


43.48,56.61,82.06,58.60,30.76


62.90,39.49,65.77,82.17,26.12


78.14,13.85,62.91,80.97,59.91


56.39,35.03,85.13,72.26,11.20


58.56,36.20,87.43,51.55,16.62


58.98,27.99,81.63,83.55,9.73


54.83,31.26,73.88,58.50,49.96


41.65,42.87,75.57,75.99,32.95


58.22,33.60,74.11,76.79,11.52


65.42,32.43,63.50,74.58,7.17


68.62,12.47,63.57,83.53,38.72


63.51,28.02,62.91,72.21,18.06


36.34,44.10,95.76,39.02,17.15


77.67,12.56,75.33,63.48,3.53


63.94,28.43,52.74,76.10,24.13


64.76,29.31,58.66,55.51,27.67


53.56,25.23,86.74,67.26,4.71


66.25,24.68,62.91,75.73,4.07


63.31,17.17,66.02,78.18,15.57


44.43,31.32,71.92,73.68,20.92


79.17,8.75,66.98,58.08,8.70


59.33,23.12,63.42,86.49,3.79


68.77,16.43,61.11,74.31,4.06


46.63,20.56,91.98,58.41,11.16


70.17,6.04,62.15,74.17,24.61


77.94,16.51,57.20,48.44,3.83


41.33,36.82,69.31,55.73,20.69


52.44,27.86,73.99,57.57,1.87


50.65,16.84,89.89,59.41,2.48


56.68,27.13,57.82,70.00,6.79


45.67,35.58,63.73,62.60,9.11


43.93,34.18,67.94,65.97,4.00


50.61,14.62,89.18,64.47,0.89


51.89,28.83,62.76,63.05,7.09


51.92,6.59,76.50,85.16,23.31


43.10,31.09,68.04,65.18,11.10


63.94,6.94,62.69,82.57,12.92


55.38,17.55,62.99,80.48,7.52


40.04,34.27,67.12,67.08,7.88


36.70,40.79,66.18,47.40,18.99


45.80,25.07,64.33,78.65,10.80


69.46,11.63,51.78,70.33,13.45


41.59,20.10,93.17,53.51,3.44


61.28,14.30,60.78,75.15,3.90


44.07,26.33,72.73,65.61,4.67


75.08,6.36,61.11,57.50,0.67


68.16,14.10,47.94,73.02,8.86


72.99,5.89,70.24,42.67,2.75


68.76,1.38,60.00,86.05,5.04


44.22,29.26,62.26,62.75,10.82


42.31,21.43,71.88,62.86,20.13


57.89,20.92,51.73,74.82,2.66


71.34,1.09,60.00,77.67,2.31


45.88,24.43,68.72,64.57,1.94


40.32,18.59,80.31,55.75,20.72


42.85,19.35,72.56,57.89,23.96


72.76,1.47,60.00,70.17,0.72


42.32,22.17,65.64,77.13,11.08


45.50,27.57,64.98,54.35,9.29


55.34,10.32,61.55,76.67,14.99


39.35,29.05,70.16,49.10,13.17


64.52,4.90,60.27,65.47,11.61


53.99,11.83,71.52,61.35,3.24


59.15,17.34,51.27,63.65,9.24


46.39,12.75,68.53,69.17,20.95


52.45,14.02,64.06,61.58,13.86


71.99,10.08,56.99,40.19,0.59


46.02,17.53,68.74,64.94,7.43


52.27,19.13,55.08,71.52,2.80


68.64,4.39,65.58,44.54,0.64


58.19,6.11,60.86,71.74,5.73


38.50,23.36,63.06,61.86,18.06


62.29,1.56,60.86,76.83,1.42


45.79,14.34,61.11,62.60,25.48


37.11,9.99,82.16,74.26,7.46


48.43,12.95,55.18,62.17,30.64


51.11,11.81,57.85,76.63,5.81


39.03,26.87,68.64,47.19,3.67


50.30,8.81,72.68,57.08,4.74


52.31,5.27,70.52,69.93,0.03


43.43,13.44,79.64,50.37,2.33


59.15,9.43,47.70,73.23,5.24


44.80,8.92,60.44,80.33,14.31


46.13,18.21,53.21,70.78,3.00


61.42,1.89,60.00,62.21,0.57


64.13,4.90,49.61,65.54,0.69
