a,b,c,d,e


83.11,87.59,87.97,61.48,83.33


62.11,33.96,98.71,82.4,47.27


47.85,49.96,94.36,62.97,44.01


78.28,51.93,68.79,47.44,6.92


48.64,54.09,91.42,53.37,28.81


46.25,54.58,79.31,60.01,43.94


57.3,42.77,78.79,78.13,27.06


43.48,56.61,82.06,58.6,30.76


62.9,39.49,65.77,82.17,26.12


56.39,35.03,85.13,72.26,11.2


58.56,36.2,87.43,51.55,16.62


58.98,27.99,81.63,83.55,9.73


54.83,31.26,73.88,58.5,49.96


41.65,42.87,75.57,75.99,32.95


58.22,33.6,74.11,76.79,11.52


36.34,44.1,95.76,39.02,17.15


77.67,12.56,75.33,63.48,3.53


64.76,29.31,58.66,55.51,27.67


53.56,25.23,86.74,67.26,4.71


63.31,17.17,66.02,78.18,15.57


79.17,8.75,66.98,58.08,8.7


59.33,23.12,63.42,86.49,3.79


46.63,20.56,91.98,58.41,11.16


77.94,16.51,57.2,48.44,3.83


41.33,36.82,69.31,55.73,20.69


52.44,27.86,73.99,57.57,1.87


50.65,16.84,89.89,59.41,2.48


45.67,35.58,63.73,62.6,9.11


50.61,14.62,89.18,64.47,0.89


51.89,28.83,62.76,63.05,7.09


51.92,6.59,76.5,85.16,23.31


43.1,31.09,68.04,65.18,11.1


36.7,40.79,66.18,47.4,18.99


45.8,25.07,64.33,78.65,10.8


69.46,11.63,51.78,70.33,13.45


41.59,20.1,93.17,53.51,3.44


44.07,26.33,72.73,65.61,4.67


75.08,6.36,61.11,57.5,0.67


68.16,14.1,47.94,73.02,8.86


72.99,5.89,70.24,42.67,2.75


44.22,29.26,62.26,62.75,10.82


45.88,24.43,68.72,64.57,1.94


40.32,18.59,80.31,55.75,20.72


42.32,22.17,65.64,77.13,11.08


55.34,10.32,61.55,76.67,14.99


39.35,29.05,70.16,49.1,13.17


64.52,4.9,60.27,65.47,11.61


53.99,11.83,71.52,61.35,3.24


46.39,12.75,68.53,69.17,20.95


71.99,10.08,56.99,40.19,0.59


68.64,4.39,65.58,44.54,0.64


38.5,23.36,63.06,61.86,18.06


37.11,9.99,82.16,74.26,7.46


48.43,12.95,55.18,62.17,30.64


51.11,11.81,57.85,76.63,5.81


39.03,26.87,68.64,47.19,3.67


50.3,8.81,72.68,57.08,4.74


52.31,5.27,70.52,69.93,0.03


43.43,13.44,79.64,50.37,2.33


59.15,9.43,47.7,73.23,5.24


44.8,8.92,60.44,80.33,14.31


64.13,4.9,49.61,65.54,0.69


44.96,17.36,71.1,42.5,0.59


43.69,11.65,68.15,64.16,5.09


45.32,20.13,43.86,72.48,14.69


34.93,20.54,79.69,42.61,0.02


39.81,15.3,73.72,52.78,2.43


58.97,1.52,61.19,63.32,0.6


53.99,3.64,61.44,70.84,0.94


56.87,2.75,59.66,66.49,0.09


38.08,14.77,60.31,77.36,7.82


51.44,6.21,46.9,81.21,15.65


47.85,16.74,66.95,35.44,0.1


43.38,8.35,69.95,66.98,0.68


41.98,9.96,64.47,63.01,14.37


54.28,3.43,56.43,74.78,0.57


43.14,25.87,47.93,54.17,3.33


60.66,1.04,61.23,51.62,0.05


25.62,16.98,89.05,51.99,0.64


28.85,25.31,72.44,46.25,4.65


35.72,13.91,62.84,78.44,3.91


42.18,14.29,58.33,66.52,3.37


60.12,4.67,35.08,86.23,4.34


56.23,4.89,46.39,74.89,3.95


38.13,17.6,59.46,62.4,5.85


40.34,16.39,62.76,56.64,1.89


35.35,14.01,73.13,57.86,0.03


39.08,27.22,46.39,51.66,8.03


44.03,8.2,59.86,59.22,15.35


50.69,8.94,51.21,63.92,3.39


39.88,15.06,58.14,57.62,6.91


45.75,12.09,56.02,52.53,5.65


33.76,13.92,60.56,74.6,2.61


42.31,5.84,60.61,60.1,13.75


22.61,17.9,77.84,58.61,2.84


34.29,7.72,77.37,56.81,0.04


38.56,18.92,49.32,61.29,4.17


40.46,8.45,63.88,55.34,6.1


36.81,14.03,60.18,57.19,4.32


42.56,6.33,56.98,63.08,6.07
